id,parent_id,title,uri
0-up,,org,/org/
3949,3943,Столица,/org/filial/moskva/
3957,3943,Урал и Западная Сибирь,/org/filial/ural/
3953,3943,Центральная Россия,/org/filial/roscentr/
3947,3943,Юг России,/org/filial/jugrossii/
1-up,,region,/region/
3935,1,ДФО,/region/dfo/
3255,3935,Амурская область,/region/dfo/amur/
3711,3255,Благовещенск,/region/dfo/amur/blagov/
4336,3935,Бурятия,/region/dfo/buryatia/
4337,4336,Улан-Удэ,/region/dfo/buryatia/ulanude/
3236,3935,Еврейская АО,/region/dfo/eao/
3712,3236,Биробиджан,/region/dfo/eao/biro/
4338,3935,Забайкальский край,/region/dfo/zabaikalie/
4339,4338,Чита,/region/dfo/zabaikalie/chita/
1503,3935,Камчатский край,/region/dfo/kamchatka/
3713,1503,Петропавловск-Камчатский,/region/dfo/kamchatka/petro/
3402,3935,Магаданская область,/region/dfo/magadanobl/
3717,3402,Магадан,/region/dfo/magadanobl/magadan/
3379,3935,Приморский край,/region/dfo/primorie/
3718,3379,Владивосток,/region/dfo/primorie/vladivostok/
3714,3935,Сахалинская область,/region/dfo/sakhalin/
3716,3714,Курильские острова,/region/dfo/sakhalin/kurily/
3715,3714,Южно-Сахалинск,/region/dfo/sakhalin/yzhsakh/
1117,3935,Хабаровский край,/region/dfo/habkrai/
3721,1117,Хабаровск,/region/dfo/habkrai/habarovsk/
1164,3935,Чукотский АО,/region/dfo/chukotka/
3723,1164,Анадырь,/region/dfo/chukotka/anadyr/
3260,3935,Якутия,/region/dfo/yakutia/
3724,3260,Якутск,/region/dfo/yakutia/yakutsk/
3936,1,ПФО,/region/pfo/
2711,3936,Башкортостан,/region/pfo/bashkortostan/
2712,2711,Уфа,/region/pfo/bashkortostan/ufa/
56,3936,Пермский край,/region/pfo/permkray/
125,56,Пермь,/region/pfo/permkray/perm/
1468,3936,Кировская область,/region/pfo/kirovskaja/
3749,1468,Киров,/region/pfo/kirovskaja/kirov/
1105,3936,Марий Эл,/region/pfo/ml/
3696,1105,Йошкар-Ола,/region/pfo/ml/yosh/
1605,3936,Мордовия,/region/pfo/mordovija/
3772,1605,Саранск,/region/pfo/mordovija/saransk/
2252,3936,Нижегородская область,/region/pfo/nizhegorodskaya/
3746,2252,Нижний Новгород,/region/pfo/nizhegorodskaya/nnovgorod/
1544,3936,Оренбургская область,/region/pfo/orenburgskaya/
3771,1544,Оренбург,/region/pfo/orenburgskaya/orenburg/
1804,3936,Пензенская область,/region/pfo/penzobl/
3770,1804,Пенза,/region/pfo/penzobl/penza/
1200,3936,Самарская область,/region/pfo/samarskay/
3768,1200,Самара,/region/pfo/samarskay/samara/
3287,3936,Саратовская область,/region/pfo/saratovobl/
702,3936,Татарстан,/region/pfo/tatarstan/
3694,702,Казань,/region/pfo/tatarstan/kazan/
2952,3936,Удмуртия,/region/pfo/udmurtija/
3751,2952,Ижевск,/region/pfo/udmurtija/izhevsk/
1318,3936,Ульяновская область,/region/pfo/ulyanovskaya/
3767,1318,Ульяновск,/region/pfo/ulyanovskaya/ulyanovsk/
1029,3936,Чувашская республика,/region/pfo/chuvashskresp/
3695,1029,Чебоксары,/region/pfo/chuvashskresp/cheb/
3937,1,СЗФО,/region/szfo/
3243,3937,Архангельская область,/region/szfo/arkhan/
3752,3243,Архангельск,/region/szfo/arkhan/arkhangelsk/
3687,3937,Вологодская область,/region/szfo/vologobl/
3688,3687,Вологда,/region/szfo/vologobl/vologda/
3373,3937,Калининградская область,/region/szfo/kalinobl/
3753,3373,Калининград,/region/szfo/kalinobl/kgrad/
2458,3937,Карелия,/region/szfo/karelia/
3756,2458,Петрозаводск,/region/szfo/karelia/petroz/
265,3937,Ленинградская область,/region/szfo/lenoblast/
3241,3937,Мурманская область,/region/szfo/murman/
3758,3241,Мурманск,/region/szfo/murman/murmansk/
3245,3937,Ненецкий АО,/region/szfo/nao/
3759,3245,Нарьян-Мар,/region/szfo/nao/naryan/
723,3937,Новгородская область,/region/szfo/novgoroblast/
3757,723,Великий Новгород,/region/szfo/novgoroblast/vnovgorod/
1466,3937,Псковская область,/region/szfo/pskovskaja/
3755,1466,Псков,/region/szfo/pskovskaja/pskov/
3797,3937,Республика Коми,/region/szfo/komi/
3798,3797,Сыктывкар,/region/szfo/komi/syktyvkar/
38,3937,Санкт-Петербург,/region/szfo/spb/
3938,1,СКФО,/region/skfo/
1618,3938,Дагестан,/region/skfo/dagestan/
3790,1618,Махачкала,/region/skfo/dagestan/makha/
3327,3938,Ингушетия,/region/skfo/ingushetia/
3728,3327,Магас,/region/skfo/ingushetia/magas/
3328,3938,Кабардино-Балкария,/region/skfo/kbr/
3737,3328,Нальчик,/region/skfo/kbr/nalchik/
3329,3938,Карачаево-Черкесия,/region/skfo/kchr/
3738,3329,Черкесск,/region/skfo/kchr/cherkessk/
3336,3938,Северная Осетия,/region/skfo/alania/
3744,3336,Владикавказ,/region/skfo/alania/vladikavkaz/
3338,3938,Ставропольский край,/region/skfo/stavkray/
3739,3338,Ставрополь,/region/skfo/stavkray/stavropol/
3340,3938,Чеченская Республика,/region/skfo/chr/
3735,3340,Грозный,/region/skfo/chr/grozny/
3939,1,СФО,/region/sibfo/
3288,3939,Алтайский край,/region/sibfo/altay/
3760,3288,Барнаул,/region/sibfo/altay/barnaul/
3283,3939,Иркутская область,/region/sibfo/irkutskobl/
3710,3283,Иркутск,/region/sibfo/irkutskobl/irkutsk/
3295,3939,Кемеровская область,/region/sibfo/kemerobl/
3765,3295,Кемерово,/region/sibfo/kemerobl/kemerovo/
2786,3939,Красноярский край,/region/sibfo/krasnoyarski/
3698,2786,Красноярск,/region/sibfo/krasnoyarski/krasnoyrsk/
1387,3939,Новосибирская область,/region/sibfo/novosibirskaya/
